name,sector,year_founded,label_date,website,description,founders,email
UTIK,Fintech,2020,02/2020,http://www.utik.co,"UTIK fournit des services personnalisés pour établir la confiance numérique à travers l''identification et la prédication des risques, la cryptographie et une infrastructure pour les applications décentralisées.","Makrem Dhifalli, Aymen Gatri, Mounir Bezzarga",n.a.
KNSD,Ad Tech and Creative Tech,2016,05/2019,https://www.knsd.digital/,KNSD est une agence de communication digitale qui développe un produit/service de veille et monitoring sur les réseaux sociaux en SAAS.,"Ali Boulila, Kais Ezzine",n.a.
HelpyGo,Consumer products and services,2023,10/2023,https://helpygo.tunealgo.com/,"HelpyGo, la marketplace de référence des prestations de services et de location de matériel près de chez vous.","Mohamed Melki, Amani Khalfaoui, Monia Cheikh Rouhou",contact@tunealgo.com
ilboursa.com,Ad Tech and Creative Tech,2012,05/2019,https://www.ilboursa.com/,L'objectif d'ilboursa est de développer le média leader et de référence dans le secteur « Eco-Bourse-Finance »,"Ismail Ben Sassi, Rodolphe Villaes",n.a.
Mon Ingénieur Express,Business Software and services,2022,12/2022,https://moningenieur.express/,"Mon Ingénieur Express est une plateforme de recrutement d'ingénieurs en télétravail, qui associe l'expertise métier aux nouvelles technologies. Elle permet de RECRUTER DES INGÉNIEURS À DISTANCE de façon très  simple. ET À DES TARIFS 50% MOINS ÉLEVÉS QU’EN Europe.","Mohamed Moatez Jendoubi, Frederic Delahaigue",med.moatez.benmedien@gmail.com
Fidelicia,Commerce and shopping,2019,11/2020,https://fidelicia.com,Fidelicia est une aplication de fidélisation à destination de tous les commerces qui permet de récompenser ses clients grâce à des offres envoyées par SMS.,Tommy Piedbois,n.a.
GoMyCode,EdTech,2016,05/2019,https://www.gomycode.tn/,"GoMyCode se veut être une plateforme éducative panafricaine qui regroupe les meilleurs talents tech de la région, les forme sur les nouvelles technologies et les connecte avec des projets du numérique à travers le monde.","Yahya Bouhlel, Amine Bouhlel",n.a.
Wheelz,Consumer products and services,2023,02/2023,http://profit.gtt-launchpad.com/,"Wheelz est une startup tunisienne spécialisée dans la création de dispositifs intelligents.
Actuellement, Wheelz concentre ses ressources sur la création d'un E-bike intelligent doté de fonctionnalités étendues et d'un design exceptionnel.","Salim Benaoun, Mohamed Wassim Abidi, Hela Msaddek",hello@wheelz.gtt-launchpad.com
ASEPTIKA LAB,HealthTech,2016,08/2019,http://www.aseptika-lab.com,Il s'agit d'un laboratoire dermo-cosmétique certifié qui veut digitaliser les cosmétiques naturels par un diagnostic de peau en ligne.,"Selima Zaouali, Aziz Zaouali",n.a.
ZOLFA,Business Software and services,2020,04/2020,http://zolfa.epizy.com,"ZOLFA Electronics conçoit et réalise des systèmes électroniques et automatiques divers, et notamment des appareils électroniques programmable directement avec un langage de programmation arabe, en bas et haut niveau.",JRIDI Adel,omegatec@planet.tn
BSmart SARL,Business Software and services,2018,03/2020,http://www.bsmartdoc.com/,Bsmart SARL: Automatisation des processus métiers d'entreprise autour de la digitalisation des documents et pièces comptables comme les factures et les commandes,"Walid Ammar, Ahmed Fessi",n.a.
The Landlord,TravelTech,2019,09/2019,https://www.thelandlord.tn,The Landlord est une conciergerie All-Inclusive en ligne spécialisée dans la location courte durée.,Mohamed Farouk Ben Achour,n.a.
BaBa Ali,Commerce and shopping,2021,11/2021,https://baba-ali.tn,BaBa Ali est une plateforme de déstockage en ligne multi-catégories ; spécialisée dans le Rachat et la Vente des Surstocks et des Invendus.,Hichem Chelbi,n.a.
KALYS,Commerce and shopping,2017,02/2020,http://www.kalys-designstore.com,KALYS est une plateforme de vente en ligne d'objets décoratifs artisanaux aux influences méditerranéennes.,"Sonia Hachicha, Hugues Blin",n.a.
Wildkard,Wellness,2022,06/2023,www.wildkard.tn,Wildkard est la première plateforme en Tunisie à proposer des solutions de bien-être. Notre mission consiste à encourager un mode de vie plus sain pour tous en connectant les consommateurs aux meilleurs produits de bien-être et en aidant les vendeurs à atteindre leur public cible.,Skander Chouka,n.a.
Empowair,TravelTech,2023,11/2023,www.empowair.com,"EmpowAir SaaS pulg &amp; play solution multi-fournisseurs multi-contenus, dédiée aux compagnies aériennes et aux hôtels, offre la possibilité d'une combinaison dynamique de différents contenus de voyage provenant de différentes sources en temps réel. Elle permet de créer des forfaits de voyage sur mesure pour les voyageurs, et de les réserver directement sur le site des compagnies aériennes ou des hôtels.","Atef Meftah, Iuliia Matviets",info@empowair.com
Relead,Ad Tech and Creative Tech,2021,12/2022,https://relead.tn/,"Relead démocratise l’accès à internet pour toute personne, en offrant une solution accessible , gratuite et sécurisée.
Le concept de Relead permet de délivrer une connexion wifi gratuite conditionné par le visionnage  d'une séquence publicitaire  d'une durée de 8 secondes.
L'objectif du modèle d'entreprise est de créer et de gérer un volume élevé de connexions Wi-Fi, sur un large éventail de sites, sur une base quotidienne. 
Cette plateforme de base, combinée avec les informations démographiques des utilisateurs de Wi-Fi , permet à Relead d'offrir aux annonceurs numériques institutionnel (organismes nationaux, campagnes de sensibilisations ...)  et privé un canal de communication ciblés de proximité, conforme aux règlementations GDPR .","Hadhami Rjiba, Rayen Cherni",n.a.
Tinith,Business Software and services,2020,02/2021,http://www.tinith.com,"Tinith permet aux dirigeants et/ou aux entrepreneurs, d’automatiser des processus via une solution low code avec un déploiement rapide et un ROI important sur une courte durée","Ouassim Bouzid, Ramzi Abidi",n.a.
Ba9chich,Ad Tech and Creative Tech,2020,12/2020,http://ba9chich.com,Ba9chich est une plateforme de revenus par abonnement pour les créateurs africains.                                    Elle permet aux créateurs de monétiser leurs contenus en utilisant le paiement par SMS et par carte bancaire.,"Melek Gharbi, Bilel Ouersighni",n.a.
SCIENCIA,EdTech,2014,09/2019,http://www.sciencia.tn/,"Sciencia est spécialisée dans la vulgarisation Scientifique et Technologique, la création de contenu, la création de kits éducatifs (Sciences & Technologies), l'animation d'ateliers, la formation et l'équipement des formateurs externes","Latifa El Ghezal, Mohamed Jaidane",n.a.
Kyto-Prod,HealthTech,2019,01/2020,,"Le projet Kyto-Prod est un projet industriel innovant en Biotech qui vise l’extraction de chitosan à partir de farine de crâbes et d’autres crustacés pour la production de produits cosmétiques, para-pharmaceutiques et environnementaux à base de chitosan qui est un biopolymère naturel que l’on obtient après une transformation de la chitine présente dans les carapaces des crustacés.",Olfa Kilani Feki,n.a.
SMARTY,EdTech,2022,08/2022,https://www.smarty.tn,Smarty est une application ludo-éducative avec la technologie de la réalité augmenté destiné aux enfants à l'âge de scolarité. Nous intégrons les objectifs d'apprentissage du programme scolaire aux principaux jeux et activités proposés.,"Marwa Souki, Mayssa Souki",contact@smarty.tn
FI THNITI,Ad Tech and Creative Tech,2020,12/2020,http://www.fithniti.city,AmazIT développe des solutions technologiques basé sur l'économie collaborative et de partage pour résoudre des problèmes quotidiennes du citoyen tunisien et africain. FITHNITI est son premier produit: Une application mobile de covoiturage courte-distance.,"Zied Said, Zeineb Ben Salah, Bilel Said, Mohamed Chaabane",n.a.
ALIDADE,Business Software and services,2016,02/2024,www..alidade.tn,Alidade accompagne les laboratoires pharmaceutiques dans leur processus d'excellence commerciale par  un service de données produits et clients appelé DataVey  et par un service Technologique articulé autour la plateforme CannyForce  de gestion de la force de vente en Cloud sécurisé et hautement disponible.,"Mejdi Gaddouch, Monia Grtimene",mejdi.gaddouch@alidade.tn
Saydalid,HealthTech,2024,02/2024,https://www.saydalid.com,Saydalid est un outil d’aide à la prise de décision en pharmacie qui combine le conseil au comptoir avec la gestion de stock.,"Fares Messedi, Rayen Miaoui, Yadh Khalfallah",contact@saydalid.com
RESRV,FoodTech & New Food,2019,11/2019,,RESRV est un logiciel qui permet aux Restaurateurs de gérer leurs réservations et de fidéliser leurs clientèles en toute simplicité : sans commission ni intermédiaire,"Ahmed Taktak, Nabil Gazdar",n.a.
Mymall.tn,Commerce and shopping,2020,02/2021,http://www.mymall.tn,Mymall.tn permet aux enseignes de déstocker leurs marchandises tout en préservant leurs image de marque. Il s’agit de ventes éphémères permettant aux enseignes de vendre à prix réduit.,Inès Béjar,n.a.
GLOLIX TUNISIA,Business Software and services,2019,02/2020,http://glolix.com,"Production de data, outils et services pour entraîner des applications d’intelligence artificielle.",Mourad Othman,n.a.
Elevage des abeilles pour la collecte de leurs venins pour des fins cosmétiques et thérapeutiques,HealthTech,2023,03/2023,,,Chedly Ellijimi,n.a.
SOFI,Commerce and shopping,2021,06/2021,http://www.sofisoft.tn,"SOFISOFT est une Marketplace qui met en relation les vendeurs et les acheteurs d’articles de décoration, en mettant à leur disposition un système d’aide à la décision basé sur l’association et l’harmonisation des couleurs lors de l’achat d’article de décoration.","Kaies Tarres, Mohamed Tarres, Soumaya Tarres",n.a.
EdTrust,EdTech,2021,10/2021,https://edtrust.tn/,"EdTrust offre un outil permettant l'apprentissage à distance avec une solution jumelée de communication à distance, gestion d'agenda, et archivage et partage de docs.","Firas Dhaouadi, Ahmed Maalej, Ahmed Snoussi",contact@edtrust.tn
ORcompost,Agritech,2023,12/2023,https://orcompost.odoo.com/,Plateforme de collecte des déchets organiques pour les valoriser en délai réduit en compost et avec qualité supérieure pour restaurer la fertilité des sols.,"Ahmed Boufahja, Emna Boufahja",ahmed.boufahja@orcompost.com
Klink,Ad Tech and Creative Tech,2020,08/2020,http://www.klink.tn,"Klink est une plateforme de Booking artistique, qui permettra la mise en relation entre les artistes et les organisateurs d'événements.","Sherazade Amous, Sendy Zardi, Hichem Zidi, Zied Hagui",n.a.
DIMAZINA,Communication services,2021,10/2021,http://www.dima-zina.com/,Plateforme en ligne regroupant les acteurs de la création d'art ou d’esprit écologique en Tunisie et les connectant aux marchés nationaux et internationaux,"Hajer Sahnoun, Faten Sahnoun",n.a.
Lemarché.tn,Commerce and shopping,2017,07/2020,http://Lemarche.tn ,"Une place de marché en ligne basée sur une grande diversité de produits frais, artisanaux et du terroir culinaire Tunisien",Zied Gharsallah,n.a.
Skills21,EdTech,2021,06/2021,http://www.getskills21.com,Skills21 est une plateforme Edtech offrant des cycles de formation en sales et Growth Hacking pour les étudiants et les corporations.,"Hajer Kharrat, Rami Mestiri, Mohamed Khalil Liouane",n.a.
Bridges S.A,Business Software and services,2020,03/2021,http://bridges.tn,Bridges est une solution de digitalisation cloud pour la gestion de la branche santé chez les assurances.,"Mahmoud Aljan, Ramzi Amairi",n.a.
Paypos Tunisie,Fintech,2014,04/2019,http://paypos.tn,"Développement de solutions monétiques innovantes et dans la digitalisation des services bancaires et financiers compatibles (PCI-DSS, EMV…).",Khatib Chakchouk,n.a.
ARCHIVART,Ad Tech and Creative Tech,2020,12/2020,http://archivart.co/,Archivart est une galerie virtuelle qui offre de la visibilité aux artistes contemporains et les connecte aux circuits du marché de l’art.,"Wafa Gabsi, Mohamed Khalil Liouane",n.a.
Ms. Marion,Ad Tech and Creative Tech,2016,02/2021,https://www.ms-marion.com/,Ms.Marion est une marque de prêt-à-porter dédiée aux femmes actives dans un style formel revisité. Avec leurs service de vente en ligne ils assurent une expérience shopping accélérée.,"Selma Belkhodja, Insaf Hamdi",n.a.
QualiFour,Advanced Manufacturing & Robotics,2020,03/2020,,Développement d'une base de donnée sur cloud pour la gestion des data qualités dans d'industrie 4.0,"Mohamed KADDECH, Mehdi BOUDHRAA",n.a.
Surfin,Ad Tech and Creative Tech,2016,08/2019,http://www.incept.tn,"Incept conçoit des solutions de transformation digitale intégrant des technologies de pointe telles que la réalité augmentée, les systèmes connectés (IoT) et les dispositifs interactifs.",Sofiene Chaieb,n.a.
Apprentus Tunisie,EdTech,2017,05/2019,https://www.apprentus.com/,Apprentus est une place de marché qui innove dans les mises en relation entre les professeurs particuliers et leurs futures élèves.,"Gaetan Deremince, Marius Andra",n.a.
Bouita,TravelTech,2020,07/2020,https://www.bouita.com,"Bouita est un ""Travel Marketplace"" qui connecte les hôtes offrant des services relatifs au voyage avec les voyageurs qui cherchent à les découvrir et à les réserver.","Amir Matallaoui, Nadjib Mammeri",n.a.
HERUNDO,Business Software and services,2018,06/2019,https://www.herundo.com,"Herundo fournit des solutions de bout-en-bout aux entreprises pour le lancement de leur activité e-commerce en local et à l’international, avec une expérience client réussie.","Nizar Bouguila, Becem Jallouli, Mohamed Boujelbane",n.a.
Tledger,Fintech,2019,11/2019,http://www.tledger.tech,"Tledger offre aux institutions financières et non financières des solutions web et mobiles en marque blanche en B2B2C pour : l'émission de certificats électroniques Digigo, la légalisation de documents par signature électronique Digigo et le paiement mobile conformément à la réglementation tunisienne.",Hichem Ben Fadhl,hichem@tledger.tech
AROM R SARL,Consumer products and services,2013,08/2019,http://www.arom-air.com,La Société AROM R SARL est spécialisée dans la fabrication des diffuseurs de parfum à usage professionnel et domestique.,Ellyes Chakroun,n.a.
FBS COMPANY,Ad Tech and Creative Tech,2019,07/2020,http://www.fierce-sportswear.com,FIERCE est une plateforme de vente et de personnalisation de sportswear en ligne et de mise à disposition de programmes d'entraînement et de nutrition.,Fatma Ben Soltane,n.a.
LORE AND HEART,Commerce and shopping,2018,05/2020,https://loreandheart.com/,"Nous faisons la promotion des artisans et designers tunisiens à l’étranger sous la marque Lore and Heart, spécialisée dans la décoration d’intérieur, mode et lifestyle.","Salma Ben Hamida, Cyrine Ben Hamida",n.a.
Enova Robotics,Advanced Manufacturing & Robotics,2014,04/2019,https://www.enovarobotics.eu/,"Enova Robotics conçoit, fabrique et commercialise des robots mobiles dans le domaine de la sécurité, la santé et la logistique.","Anis Sahbani, Philippe Bidaud, Christophe Grand",n.a.
Bi'nergy,Environment,2022,05/2023,www.binergy.com.tn,Bi'nergy est une entreprise spécialisée dans la conception et la fabrication de solutions de méthanisation et de cogénération,"Mohamed Wali, Helmi Ben Amara",benamara.helmi@binergy.com.tn
Pura solutions,HealthTech,2021,02/2021,http://www.pura-tech.com/,Pura solutions développe des solutions environnementales et sociales de prévention de pandémies et de stérilisation d'objets et d'espaces à usages multiples médicales et quotidiens,Jaweher Chatbri,n.a.
Exacctly,Business Software and services,2020,06/2020,http://www.datasphera.com,DataSphera développe des produits et des solutions NLP et IA d'entreprise pour l'analyse en temps réel des conversations échangées avec les clients.,"Noureddine Louki, Achref Kechaou",n.a.
NetShareK Network Share Knowledge,EdTech,2021,03/2021,https://www.netsharek.tn,NetShareK est une plateforme en ligne qui permet aux enseignants de partager/ co-créer leurs ressources de cours entre eux et avec leurs élèves ou étudiants.,"Riadh Brinsi, Abdallah Bakir",n.a.
Wimbee,Business Software and services,2021,08/2021,http://www.wimbeeproduct.com/,"Wimbee Product est une plateforme qui permet de relever les défis des industries via une innovation technologique majeure dans la Data. Aller au-delà des analyses classiques et créer une dynamique collaborative autour des indicateurs de performance. Partager de manière intuitive et naturelle les informations, avec la contribution des concernée pour gérer des plans d'actions, les suivre et de les historiser.",Neila Benzina,n.a.
NG Technologies,Business Software and services,2016,11/2020,https://www.ng-sign.com/,"Ng technologies et un éditeur de solutions de services de confiance numérique (signature électronique, authentification forte, PKI ...).","Moez Ben Mbarka, Mohamed Ali Tarhoun, Khadija Ferjani",n.a.
Legaltech,Fintech,2022,05/2022,https://app.legaltech.tn/,"Legaltech.tn est une  plateforme de suivi des annonces judiciaires publiées au JORT et aux journaux et permet aux abonnés d'effectuer des recherches et créer des alertes en temps réel selon des critères spécifiques, tout abonné peut être  assisté en ligne par un professionnel en droit et recouvrement des créances.","Maher Chafii, Ahmed Battikh, Mourad Chafiaa",n.a.
IsOne Hr,Business Software and services,2025,03/2025,https://isonehr.com/,test,"Meryam Boughzala, Louay Atoui, Bilel Ben salem",n.a.
Time and Money Tracker,Fintech,2021,06/2023,http://www.tmt-software.com/,,"Yousri Hajri, Ahmed AYADI",n.a.
WeMove,Wellness,2020,10/2020,http::/www.wemove.tn,WeMove est une marketplace fitness qui propose à ses utilisateurs d'accéder à un large choix de cours de sport dans un réseau de salles partenaires.,"Mariem Sellami, Hichem Ben Hmida, Mohamed Khelil, Mejdi Mbarek",n.a.
HYDROPEN TECHNOLOGIE,Agritech,2020,07/2021,,"HYDROPEN TECHNOLOGIE product et installe des serres bioclimatiques autonomes en énergie, avec des matériaux innovants destinées à l'agriculture hors sol.","Tawfik Ben Hamadi, Zied Boukhris, Mourad Chaabane",n.a.
Lait Espoir ,Agritech,2021,09/2021,http://www.laitespoir.com/,"Lait Espoir se spécialise dans la création de solutions informatiques en agriculture, précisément l'élevage bovin laitier.",Hayfa KHALFAOUI,n.a.
Fantastic Mall,Commerce and shopping,2020,12/2020,http://www.FantasticMall.tn,Fantastic Mall est une marketplace qui se base sur le live-shopping et la vidéo-shopping. Il s’agit d’une plateforme de e-commerce qui met en relation des vendeurs et des clients en vue d’assurer un service de vente en ligne et de logistique destiné aux acheteurs en ligne.,"Mohamed Torkhani, Talel Mouaada, Mohamed El kamel, Saber Ben Ahmed, Sahbi Ben Fredj",n.a.
Canadin,Business Software and services,2023,03/2023,https://canadin-app.com/,Saas Hr Solution dedié pour les cabinets de recrutement au canada afin de simplifier le processus de mobilité internationale,"Aymen Jhidri, Wassim Abdel Malek, Mohamed Ali Ben Slimen, Souad Belghith, Dhiaeddinne Rahali",n.a.
Speedy ERP,Business Software and services,2024,09/2024,https://speedy-erp.app/sign-in,"Speedy ERP propose une solution complète de gestion d'entreprise spécialement conçue pour les grossistes, englobant les domaines de la finance, des ventes et de l'inventaire.",KAIS CHEHUMA,n.a.
Wattnow,Consumer products and services,2018,05/2019,https://www.wattnow.io/,"Wattnow propose une solution IoT de monitoring et de controle d’électricité, qui permet aux entreprises de réduire le gaspillage et améliorer leur efficacité énergétique",Issam Smaali,n.a.
StreetCarHub,Commerce and shopping,2020,08/2020,,"StreetCarHub est une plateforme qui met en place un réseau d’experts automobile pour permettre aux utilisateurs de vendre et d'acheter des voitures d'occasion certifiées, tout en garantissant la sécurité, la transparence et le gain du temps et de l'argent.","Walid M'sallem, Ghazi Mensi",n.a.
ILEY'COM,Commerce and shopping,2021,08/2021,https://ileycom.com/,"ILEY'COM est une marketplace sociale et solidaire qui permet à tous les amoureux de l'Afrique, et tout particulièrement de la Tunisie, de découvrir et acheter des produits Made in Africa conçus de manière éco-responsable.","Mehdi Ben Abdallah, Marwa Moula",contact@ileycom.com
PROTABAR,FoodTech & New Food,2021,11/2021,https://protabar.com,"Une barre healthy sans gluten, sans sucre ajouté, sans conservateur, sans aucun additif avec une DLC de 9 mois .",Walid Trabelsi,n.a.
Avidea,Business Software and services,2017,04/2020,http://www.avidea.tn,Nous aidons les compagnies d'assurance à réduire le coût de sinistre automobile en leur offrant une plateforme logicielle de digitalisation de sinistre automobile et de lutte contre la fraude,"Jaafar Nasri, Anis Safraoui",n.a.
AirGraph,Advanced Manufacturing & Robotics,2019,12/2020,www.one-drone.fr,"Aerobot, avec le projet AirGraph, est consacré à la conception et le développement d'un système drone ayant pour objectif de mesurer la pollution dans l'air de tous types afin d’être utilisées sur une cartographie digitale.","Ghayth Bouagila, Lafaifia Riadh, Edouard Guilhot, Daniel Bollinger",direction@one-drone.com
SeaBot,Advanced Manufacturing & Robotics,2020,02/2021,http://www.seabotek.com,Seabot is developing new technologies in the field of underwater robots to perform multiple underwater missions,"Kelboussi Rami, Marwen Bousmina",n.a.
CAIRUS BUSINESS GROUP,Fintech,2022,04/2022,https://www.cairus-business.com/#Service,"CAIRUS digital business center est une legaltech , qui offre à l'entrepreneur une solution simple et rapide pour domicilier et créer son entreprise , recevoir les courriers par email en temps réel, rédiger et modifier ses statuts et une panoplie de services innovants.","Basma Yacoubi, Oussama Yacoubi",n.a.
AIO Events,Business Software and services,2024,11/2024,https://aio.events,,"Iyed Ben Massoud, Oussama Errifi, Derouich Aymen, Ali Baroudi",n.a.
Ste Tildah,Business Software and services,2018,05/2021,http://www.majenna.com,"Majenna est une application de caisse enregistreuse connecté, qui permet à toute l'équipe d'une enseigne constituée d'une ou plusieurs boutiques d'avoir les données synchronisées en temps réel.",Bouraoui Ben Ammar,n.a.
WONDER WORK,Business Software and services,2020,12/2020,https://www.wonderwork.tn,WONDER WORK propose des solutions de marketing innovantes et des réductions exceptionnelles chez tous ses partenaires nationaux et internationaux à travers des cartes privilèges.,Yamina Rachdi,n.a.
Tagamuta Valley,HealthTech,2021,11/2021,https://tagamuta-valley.com/,"Solution de diagnostic médical en ligne, des services de soins de santé personnalisés et une assistance médicale rapide grâce à la puissance de l'intelligence artificielle et de la technologie mobile.","Syrine Elaydi, Ahmed Gammoudi",n.a.
Bartita,EdTech,2021,01/2022,https://sites.google.com/view/kidzoolink,"Kidzoolink, un Learning Management System (LMS) pour les structures d'accueil des enfants, qui s'adosse à des fonctionnalités de communication avancées et un système de gestion.","Bochra Bouchhima , Said Mseddi , Abbes Mseddi",n.a.
Relead,Ad Tech and Creative Tech,2021,12/2022,https://relead.tn/,"Relead démocratise l’accès à internet pour toute personne, en offrant une solution accessible , gratuite et sécurisée.
Le concept de Relead permet de délivrer une connexion wifi gratuite conditionné par le visionnage  d'une séquence publicitaire  d'une durée de 8 secondes.
L'objectif du modèle d'entreprise est de créer et de gérer un volume élevé de connexions Wi-Fi, sur un large éventail de sites, sur une base quotidienne. 
Cette plateforme de base, combinée avec les informations démographiques des utilisateurs de Wi-Fi , permet à Relead d'offrir aux annonceurs numériques institutionnel (organismes nationaux, campagnes de sensibilisations ...)  et privé un canal de communication ciblés de proximité, conforme aux règlementations GDPR .","Hadhami Rjiba, Rayen Cherni",n.a.
NetConf,Business Software and services,2023,09/2023,,BeSynchro est une société spécialisée dans le développement de solutions d'automatisation pour la gestion et la supervision des réseaux (xDSL &amp; FTTx).,Houssem Jarraya,contact@besynchro.net
AMAL XR,HealthTech,2022,12/2022,www.amalxr.com,"Amal XR Développe une solution de rééducation basée sur la Réalité Virtuelle. L'outil s'adresse aux personnes en situation de handicap physique (accident vasculaire cérébral, Parkinson, sclérose en plaques, etc.) à travers des exercices de simulation ludiques. La solution est destinée aux praticiens des hôpitaux, des centres de rééducation et de thérapie à domicile utilisant des tablettes, des ordinateurs ou des téléviseurs intelligents. La solution détecte les mouvements du patient et les convertit en actions dans un monde virtuel avec des scénarios médicaux mis en place. A la fin de son utilisation, un rapport comprenant les paramètres essentiels sera généré par la solution qui permet de suivre l'état du patient.","Kais Siala, Mahdi Kharrat, Mohamed Bassem Mazghouni, Mohamed Kharrat, Mohamed Belghith",n.a.
LR Move,Mobility,2023,11/2024,https://lrmove.net/,,"oueslati mahdi, Yassmine Gritli, Zeynab Gritli, Aymen Masmoudi, Imen Oueslati",n.a.
VastLight Interactive,Ad Tech and Creative Tech,2022,08/2022,https://www.vastlight-platform.com/,"VastLight est une startup de médias interactifs qui cherche à proposer des expériences et des services numériques interactifs significatifs, percutants et puissants.","Mohamed Amine Messaoudi, Seif Islem Messaoudi, Abdel Baset Mrabet",contact@vastlight-platform.com
xgol,EdTech,2022,05/2024,https://www.xgol.pro,,"Karim BAHI, iheb jendoubi, Souad ANNABI",n.a.
medtrip,HealthTech,2020,05/2021,http://www.medtrip.tn,Medtrip est une plateforme de facilitation de tourisme médical dédiée aux patients de tout le continent africain souhaitant recevoir des soins médicaux en Tunisie.,"Achraf Msakni, Sabra Gargouri",n.a.
PEAK Technologies SARL,Fintech,2017,05/2019,https://www.peak-cs.com/,PEAK Technologies est spécialisée dans le développement des solutions de gestion et de contrôle des opérations transactionnelles basée sur les technologies Blockchain.,"Moslem Ben Dhaou, Bilel Methnani",n.a.
Paygrant,Fintech,2019,02/2020,,PayGrant est une plateforme permettant le ciblage de la compensation a travers le paiement mobile .,"khalil Manai, Ilyes Elayeb",n.a.
Optypro.net,Business Software and services,2024,11/2024,https://optypro.net/,,Oussama Meknassi,n.a.
Wanavaa,TravelTech,2020,02/2021,http://www.wanavaa.com,"WANAVAA est une plateforme communautaire de réservation d'activités, d'aventure et de sports extrêmes en Tunisie","Mohamed Ali Haddad, Mohamed Amine Gharbi, Sami Essid",n.a.
cercina.ai,Ad Tech and Creative Tech,2023,06/2023,www.cercina.ai,,"ahmed ben othman, Oussema Bennour, Dhiaeddine Gharsallah",n.a.
SHYK,Commerce and shopping,2021,02/2022,https://shyk.fr,SHYK est une marketplace qui facilite la réservation de séjours bien-être tout en aidant les professionnels du secteur à développer leurs activités.,Mohamed Nathan FENINA,n.a.
fripeji.tn,Commerce and shopping,2020,03/2021,https://fripeji.tn,"friepji.tn est une plateforme de vente en ligne des vêtements usées (fripe), elle consiste a créer un espace de rencontres entre les vendeurs ( fournisseurs , particuliers ) et les acheteurs pour simplifier la vente et la livraison pour éviter l'encombrement des marchées.","Ahmed Ouertani, Abdelkader Sellami, Ahmed Ferjani, Mohamed Salah Elbach",n.a.
Neopolis Development,Business Software and services,2018,06/2019,https://www.neopolis-dev.com,Développe en offshore et Edition de solutions de digitalisation et de robotisation destinés au secteur des assurances et banques.,"Achraf Khelil, Jacques, Yves Foucou",n.a.
Controlmed,Agritech,2014,03/2021,https://controlmed2.cms.webnode.fr/,ControlMed est spécialisée en production en masse d'insectes utiles pour l'agriculture et l'exploitation des données receuillies à travers des biocapteurs pour l'adaptation de la stratégie de traitement par les insectes.,Faten Hamdi,n.a.
Beenomi,Real Estate Tech,2021,06/2022,https://www.beenomi.com,Beenomi est une solution digitale de management et optimisation du logement locatif par intermédiaire de data science.,"Haifa Tlaila, Ahmed Sassi, Mohamed yassine Karaouli, Tarek Loukil",haifa.tlaila@beenomi.com
SmarDac,Environment,2021,08/2022,https://smardac.com,"SmarDac est une plateforme en ligne qui fournit aux opérateurs d’Energie une solution tout en un couvrant les outils nécessaires pour le suivi, control, maintenance et simulations des procèdes, afin d’assurer la continuité et l’efficacité de leurs opérations.","Mehdi Ben Abdallah, Sabra Gargouri, Said Ben Abdallah",mbenabdallah@hotmail.com
DeVolution studio,EdTech,2019,08/2019,http://www.devolution-studio.com,"Une application d'apprentissage de langues aux enfants en utilisant des dessins animés interactifs, des exercices et des jeux et qui propose un  contenu adapté aux enfants dyslexiques.","Hidayet Ayadi, Seifeddine Ben Achour, Oualid Khayatti",n.a.
CUIDA,Business Software and services,2021,02/2022,https://www.cuida.tn,"Une plateforme qui permet la digitalisation des métiers de physiothérapie grâce à a gestion de centre, la numérisation des fiches patients et gestion de documents","Kamel SANAI, Yousri FILALI, Majdi SIDAOUI, FARHAT AKROUT, Houssem eddine SANAI, Walid ZAGHDOUD, Amel saif ennasser, Ameni Jebahi",n.a.
Lysi,EdTech,2020,05/2020,http://lysi.app,Lysi est une application mobile proposant une approche éducative innovante permettant de gamifier l’éducation grâce à des expériences de chasse au trésor digitales ludo-éducatives.,Ali Bouslimi,n.a.
OREADZ,Consumer products and services,2022,01/2023,https://oreadz.com/,Plateforme de livres numériques (classiques et audio) en ligne,"Sami Mokaddem, Atef Attia, Aymen Draoui",n.a.
NEPTUNE MOSAIC,Ad Tech and Creative Tech,2014,11/2019,http://www.neptunemosaic.com,NEPTUNE MOSAIC est spécialisée dans la production de coffrets de jouets en Mosaique à partir de pierres Naturelles,Zied Abbes,n.a.
Medikadvisor,HealthTech,2020,03/2021,https://www.medikadvisor.com/,Medikadvisor est une plateforme spécialisée dans le tourisme médical et l'organisation des séjours de traitements médicaux et de chirurgie en Tunisie.,"Haithem Ben Jemia, Zied Ouled Ali",n.a.
Smart For Green: Farm and Forest Fire Protection,Agritech,2023,06/2023,https://www.smartforgreen.com/,"Le système Farm and Forest Fire Protection est une solution de protection contre les incendies dans les fermes et les forêts basée sur une approche multidimensionnelle : prédire les risques  , détecter à temps et assister les équipes d'intervention. 

Notre système intègre les technologies de l'IoT, du développement web, développement mobile et du machine learning afin d’offrir un outil d’assistance efficace permettant à nos partenaires ( forestier, fermier et pompier) d’agir efficacement avant, au début et en cour de l’incendie.","Sahli Nader, Sabri Sahli, Karim Fathallah, Rania Fathallah, Mohamed-Hedi MELLEKH, Oussema Charbib, Wael Fathallah, Mohamed Ali Fathallah",s4g-team@googlegroups.com
